VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.600000111,142049.0,5101919.510000559,672819.3099998693,260999.2000000145,68601.68000000001
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.2199999536,160247.0,4819073.490000401,561512.3699999085,294438.6600000097,144929.24
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.680000034,187140.0,4538120.600000365,461140.1499998849,343854.07000000787,123780.21999999997
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94000002,200412.0,4475972.880000464,420050.0099998967,368242.8000000149,257032.07000000007
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.0099999965,135838.0,4223107.620000436,545778.2799998876,249587.83000001253,257032.07000000007
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.930000039,141860.0,3383912.4000005093,446932.08999989054,111699.18999999705,89286.26999999999
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.0800000825,69627.0,2773367.729999988,614529.3399998964,127931.66999998408,123780.21999999997
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.8399999859,148265.0,2592041.349999925,292586.2899999302,272422.6000000083,257032.07000000007
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.5499999446,90481.0,2640491.190000111,503661.01999988995,166244.44000000262,257032.07000000007
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.139999997,107061.0,2435393.38999984,426902.77999989083,196707.35000000568,123880.96999999999
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1000000215,91247.0,2148965.5299997157,436011.6399998929,71840.57000000637,123780.21999999997
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.9600000305,61433.0,1840615.669999787,442856.1999999129,112875.18999998401,257032.07000000007
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.420000022,70122.0,2189368.779999833,495957.82999989664,128839.07999998711,89286.26999999999
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999887,214238.0,2326007.779999907,189608.95999997697,24083.770000001787,17587.59
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.3099999838,41639.0,2009508.6099997887,662320.0399999034,32783.0900000035,68054.70000000003
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.9200000092,28372.0,1739044.279999906,507291.4299999482,52133.71999999593,257032.07000000007
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.1500000013,59771.0,1844950.2899997348,504735.05999989586,109817.0699999855,123780.21999999997
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.770000004,65184.0,2068091.159999784,494487.6499999042,119767.48999998723,257032.07000000007
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.4800000344,47966.0,1884307.3399997673,596574.929999897,88129.79999998568,257032.07000000007
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.4799999988,79042.0,1635666.5799999442,121065.2500000112,145234.9500000005,257032.07000000007
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.6200000057,56888.0,1766391.119999798,460087.9499999081,104524.53999998761,89286.26999999999
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.760000023,32945.0,1699669.5499998508,589137.7899999224,60533.429999990025,89286.26999999999
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.7200000167,61323.0,1528730.2699997823,392353.53999991255,112669.44999998584,18544.489999999998
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.9200000067,58013.0,1736610.8699998797,294049.48999996006,60913.65000000229,89286.26999999999
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.80000003,98938.0,1624366.6199997105,306439.93999991653,181782.13000000623,123880.96999999999
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.3300000117,94960.0,1554498.39999971,307670.1999999177,174471.93000000203,123880.96999999999
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.7199999734,58610.0,1549701.8999997717,431497.80999990343,107685.02999998446,38994.78000000001
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.6099999847,77041.0,1657809.5899997752,342678.8499999174,141551.60999999248,89286.26999999999
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0000000028,38506.0,1584665.4099999077,349562.0599999733,4316.35999999995,48347.26
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.4400000074,73122.0,1456174.7799997765,340626.12999991875,57570.690000006565,257032.07000000007
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.3799999938,74722.0,1408627.7799997577,331726.62999992317,137288.5799999888,38994.78000000001
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999664,64388.0,1327401.119999779,352821.77999991283,118298.36999998645,20964.809999999998
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.2900000048,29498.0,1533634.519999969,132343.6700000056,3314.2299999999736,48347.26
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,44762.0,1177834.3799998525,367508.0099999269,82244.15999998542,123780.21999999997
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.3999999905,84289.0,1174428.3599998045,257643.30999993792,66360.95000000767,50293.62000000002
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.9800000095,60102.0,1293182.9799998398,315290.1799999338,110429.44999998703,123780.21999999997
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.9800000013,75147.0,1323223.529999905,177578.64999999318,138074.08999999802,89286.26999999999
